candidate,confidence_threshold,n_trajectories,balanced_accuracy,macro_f1,min_class_recall,class_mae,quadratic_weighted_kappa,unsafe_early_stop_rate,severe_unsafe_stop_rate,quality_failure_rate,exact_round_accuracy,within_one_round_rate,mean_absolute_round_error,mean_excess_rounds,mean_premature_rounds,mean_rounds_saved,compute_reduction_fraction,mean_qv_loss_vs_r5,mean_busco_loss_vs_r5,selected_r1_fraction,selected_r2_fraction,selected_r3_fraction,selected_r4_fraction,selected_r5_fraction
legacy_full_retrospective,0.7,127,0.3434343434343434,0.26054421768707486,0.0,0.6062992125984252,0.028204641750458448,0.0,0.0,0.007874015748031496,0.5590551181102362,0.6535433070866141,0.984251968503937,0.984251968503937,0.0,0.015748031496062992,0.0031496062992125984,-6.707384493827e-05,0.026771653543307076,0.0,0.0,0.0,0.015748031496062992,0.984251968503937
light_core_prospective,0.7,127,0.3286384976525822,0.2380952380952381,0.0,0.6377952755905512,-0.007626545297988896,0.015748031496062992,0.015748031496062992,0.0,0.5511811023622047,0.6377952755905512,1.031496062992126,0.984251968503937,0.047244094488188976,0.06299212598425197,0.012598425196850394,-0.00020508822940192115,0.0070866141732283915,0.015748031496062992,0.0,0.0,0.0,0.984251968503937
light_fasta_prospective,0.7,127,0.34313125127577054,0.26860254083484575,0.0,0.6062992125984252,0.10916592985558504,0.05511811023622047,0.031496062992125984,0.031496062992125984,0.5511811023622047,0.6614173228346457,0.9763779527559056,0.889763779527559,0.08661417322834646,0.1968503937007874,0.03937007874015748,-0.00026818881673680713,0.06771653543307066,0.023622047244094488,0.023622047244094488,0.015748031496062992,0.0,0.937007874015748
r1_core_only,0.7,127,0.3286384976525822,0.23688663282571912,0.0,0.6377952755905512,-0.019667641750171105,0.007874015748031496,0.007874015748031496,0.0,0.5511811023622047,0.6377952755905512,1.031496062992126,1.0,0.031496062992125984,0.031496062992125984,0.006299212598425197,-7.455464098945145e-05,0.0,0.007874015748031496,0.0,0.0,0.0,0.9921259842519685
legacy_full_retrospective,0.8,127,0.3333333333333333,0.23905723905723905,0.0,0.6220472440944882,0.0,0.0,0.0,0.0,0.5590551181102362,0.6456692913385826,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
light_core_prospective,0.8,127,0.3333333333333333,0.23905723905723905,0.0,0.6220472440944882,0.0,0.0,0.0,0.0,0.5590551181102362,0.6456692913385826,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
light_fasta_prospective,0.8,127,0.3333333333333333,0.23905723905723905,0.0,0.6220472440944882,0.0,0.0,0.0,0.0,0.5590551181102362,0.6456692913385826,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
r1_core_only,0.8,127,0.3333333333333333,0.23905723905723905,0.0,0.6220472440944882,0.0,0.0,0.0,0.0,0.5590551181102362,0.6456692913385826,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
legacy_full_retrospective,0.9,127,0.3333333333333333,0.23905723905723905,0.0,0.6220472440944882,0.0,0.0,0.0,0.0,0.5590551181102362,0.6456692913385826,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
light_core_prospective,0.9,127,0.3333333333333333,0.23905723905723905,0.0,0.6220472440944882,0.0,0.0,0.0,0.0,0.5590551181102362,0.6456692913385826,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
