candidate,fold,n_trajectories,balanced_accuracy,macro_f1,min_class_recall,class_mae,quadratic_weighted_kappa,unsafe_early_stop_rate,severe_unsafe_stop_rate,quality_failure_rate,exact_round_accuracy,within_one_round_rate,mean_absolute_round_error,mean_excess_rounds,mean_premature_rounds,mean_rounds_saved,compute_reduction_fraction,mean_qv_loss_vs_r5,mean_busco_loss_vs_r5,selected_r1_fraction,selected_r2_fraction,selected_r3_fraction,selected_r4_fraction,selected_r5_fraction
legacy_full_retrospective,1,24,0.3333333333333333,0.24761904761904763,0.0,0.6666666666666666,0.09302325581395343,0.08333333333333333,0.08333333333333333,0.0,0.5416666666666666,0.625,1.0416666666666667,0.875,0.16666666666666666,0.3333333333333333,0.06666666666666667,-0.00463628163118394,-0.1083333333333331,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666
legacy_full_retrospective,2,28,0.3333333333333333,0.2608695652173913,0.0,0.5,0.0,0.0,0.0,0.0,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
legacy_full_retrospective,3,24,0.3,0.19354838709677422,0.0,0.875,0.02941176470588236,0.041666666666666664,0.041666666666666664,0.0,0.375,0.5,1.4166666666666667,1.2916666666666667,0.125,0.25,0.05,-6.195675208853224e-05,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.875
legacy_full_retrospective,4,24,0.3055555555555555,0.21568627450980393,0.0,0.6666666666666666,-0.03125,0.08333333333333333,0.08333333333333333,0.0,0.4583333333333333,0.5833333333333334,1.125,0.875,0.25,0.3333333333333333,0.06666666666666667,-0.0008656537718872611,0.0,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666
legacy_full_retrospective,5,27,0.4166666666666667,0.40606060606060607,0.0,0.48148148148148145,0.040185471406491646,0.0,0.0,0.0,0.6666666666666666,0.7777777777777778,0.8148148148148148,0.8148148148148148,0.0,0.037037037037037035,0.007407407407407407,-9.950904643824182e-06,0.03333333333333302,0.0,0.0,0.0,0.037037037037037035,0.9629629629629629
light_core_prospective,1,24,0.3333333333333333,0.24074074074074073,0.0,0.6666666666666666,0.04878048780487809,0.041666666666666664,0.0,0.0,0.5416666666666666,0.6666666666666666,1.0,0.9583333333333334,0.041666666666666664,0.125,0.025,-0.0003712281092502027,0.0,0.0,0.041666666666666664,0.0,0.0,0.9583333333333334
light_core_prospective,2,28,0.3148148148148148,0.2518518518518518,0.0,0.5357142857142857,-0.045454545454545414,0.03571428571428571,0.0,0.0,0.6071428571428571,0.7142857142857143,0.8214285714285714,0.7857142857142857,0.03571428571428571,0.03571428571428571,0.007142857142857143,-3.941728885134158e-06,-0.03214285714285684,0.0,0.0,0.0,0.03571428571428571,0.9642857142857143
light_core_prospective,3,24,0.3333333333333333,0.19607843137254902,0.0,0.875,0.0,0.0,0.0,0.0,0.4166666666666667,0.5,1.4166666666666667,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
light_core_prospective,4,24,0.4777777777777778,0.37806637806637805,0.1,0.625,0.19745222929936312,0.20833333333333334,0.16666666666666666,0.08333333333333333,0.4583333333333333,0.5833333333333334,1.1666666666666667,0.625,0.5416666666666666,0.875,0.175,-0.001952978173585122,0.2166666666666662,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.0,0.75
light_core_prospective,5,27,0.3796296296296296,0.36190476190476195,0.0,0.5555555555555556,0.09879839786381839,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.6296296296296297,0.6666666666666666,1.0,0.7037037037037037,0.2962962962962963,0.4444444444444444,0.08888888888888888,-0.0005504547874875717,0.1296296296296299,0.07407407407407407,0.0,0.037037037037037035,0.07407407407407407,0.8148148148148148
