Sample,Coverage_effective,busco_n,busco_resolution_percent,r1_busco_complete,r5_busco_complete,r1_to_r5_change,trajectory_range,any_future_gain_gt_1pp,terminal_gain_gt_1pp,transient_gain_only
SRR19349851,157X,116,0.8620689655172413,88.8,87.9,-0.8999999999999915,2.5999999999999943,1,0,1
SRR19349851,20X,116,0.8620689655172413,75.9,73.3,-2.6000000000000085,3.5,0,0,0
SRR19349851,40X,116,0.8620689655172413,84.5,86.2,1.7000000000000028,1.7000000000000028,1,1,0
SRR19357507,10X,116,0.8620689655172413,86.2,86.2,0.0,0.0,0,0,0
SRR19357507,150X,116,0.8620689655172413,94.8,95.7,0.9000000000000057,1.7000000000000028,0,0,0
SRR19357507,20X,116,0.8620689655172413,94.8,94.8,0.0,0.7999999999999972,0,0,0
SRR19357507,40X,116,0.8620689655172413,96.6,95.7,-0.8999999999999915,1.7999999999999972,0,0,0
SRR19820504,10X,116,0.8620689655172413,86.2,86.2,0.0,0.8999999999999915,0,0,0
SRR19820504,149X,116,0.8620689655172413,96.6,99.1,2.5,3.3999999999999915,1,1,0
SRR19820504,20X,116,0.8620689655172413,94.8,94.8,0.0,0.0,0,0,0
SRR19820504,40X,116,0.8620689655172413,97.4,97.4,0.0,0.8000000000000114,0,0,0
SRR19843368,10X,116,0.8620689655172413,54.3,56.9,2.6000000000000014,2.6000000000000014,1,1,0
SRR19843368,20X,116,0.8620689655172413,69.0,66.4,-2.5999999999999943,2.5999999999999943,0,0,0
SRR19843368,40X,116,0.8620689655172413,70.7,66.4,-4.299999999999997,6.0,1,0,1
SRR19843368,79X,116,0.8620689655172413,69.0,73.3,4.299999999999997,5.200000000000003,1,1,0
SRR21362341,109X,116,0.8620689655172413,97.4,99.1,1.6999999999999886,1.6999999999999886,1,1,0
SRR21362341,10X,116,0.8620689655172413,76.7,74.1,-2.6000000000000085,2.6000000000000085,0,0,0
SRR21362341,20X,116,0.8620689655172413,93.1,94.0,0.9000000000000057,0.9000000000000057,0,0,0
SRR21362341,40X,116,0.8620689655172413,96.6,94.8,-1.7999999999999972,1.7999999999999972,0,0,0
SRR21362351,10X,116,0.8620689655172413,69.8,69.8,0.0,0.0,0,0,0
SRR21362351,20X,116,0.8620689655172413,86.2,84.5,-1.7000000000000028,2.5999999999999943,0,0,0
SRR21362351,40X,116,0.8620689655172413,89.7,87.9,-1.7999999999999972,1.7999999999999972,0,0,0
SRR21362351,77X,116,0.8620689655172413,90.5,92.2,1.7000000000000028,2.5,1,1,0
SRR21362396,10X,116,0.8620689655172413,83.6,83.6,0.0,0.7999999999999972,0,0,0
SRR21362396,138X,116,0.8620689655172413,92.2,95.7,3.5,3.5,1,1,0
SRR21362396,20X,116,0.8620689655172413,91.4,91.4,0.0,0.9000000000000057,0,0,0
SRR21362396,40X,116,0.8620689655172413,94.8,94.0,-0.7999999999999972,0.7999999999999972,0,0,0
SRR21386012,10X,116,0.8620689655172413,84.5,83.6,-0.9000000000000057,0.9000000000000057,0,0,0
SRR21386012,20X,116,0.8620689655172413,99.1,99.1,0.0,0.0,0,0,0
SRR21386012,40X,116,0.8620689655172413,99.1,99.1,0.0,0.0,0,0,0
SRR21415604,10X,116,0.8620689655172413,30.2,29.3,-0.8999999999999986,0.8999999999999986,0,0,0
SRR21415604,142X,116,0.8620689655172413,69.8,71.6,1.7999999999999972,3.5,1,1,0
SRR21415604,20X,116,0.8620689655172413,50.9,51.7,0.8000000000000043,1.7000000000000028,1,0,1
SRR21415604,40X,116,0.8620689655172413,66.4,69.0,2.5999999999999943,2.5999999999999943,1,1,0
SRR21415746,10X,116,0.8620689655172413,43.1,43.1,0.0,0.8999999999999986,0,0,0
SRR21415746,157X,116,0.8620689655172413,87.9,90.5,2.5999999999999943,2.5999999999999943,1,1,0
SRR21415746,20X,116,0.8620689655172413,81.0,78.4,-2.5999999999999943,2.5999999999999943,0,0,0
SRR21415746,40X,116,0.8620689655172413,88.8,87.1,-1.7000000000000028,3.5,0,0,0
SRR21415813,10X,116,0.8620689655172413,39.7,40.5,0.7999999999999972,0.7999999999999972,0,0,0
SRR21415813,115X,116,0.8620689655172413,81.9,82.8,0.8999999999999915,1.6999999999999886,1,0,1
SRR21415813,20X,116,0.8620689655172413,66.4,64.7,-1.7000000000000028,2.5,0,0,0
SRR21415813,40X,116,0.8620689655172413,75.9,74.1,-1.8000000000000114,2.6000000000000085,0,0,0
SRR21415898,10X,116,0.8620689655172413,28.4,25.9,-2.5,2.5,0,0,0
SRR21415898,20X,116,0.8620689655172413,49.1,49.1,0.0,3.5,1,0,1
SRR21415898,40X,116,0.8620689655172413,53.4,52.6,-0.7999999999999972,6.0,0,0,0
SRR21415898,486X,116,0.8620689655172413,56.9,50.0,-6.899999999999999,6.899999999999999,0,0,0
SRR21416051,10X,116,0.8620689655172413,37.9,38.8,0.8999999999999986,1.6999999999999957,0,0,0
SRR21416051,20X,116,0.8620689655172413,62.1,61.2,-0.8999999999999986,1.6999999999999957,0,0,0
SRR21416051,40X,116,0.8620689655172413,75.0,74.1,-0.9000000000000057,1.7000000000000028,0,0,0
SRR21416051,79X,116,0.8620689655172413,74.1,78.4,4.300000000000011,6.900000000000006,1,1,0
SRR22823170,10X,116,0.8620689655172413,36.2,36.2,0.0,1.7000000000000028,0,0,0
SRR22823170,20X,116,0.8620689655172413,57.8,55.2,-2.5999999999999943,5.199999999999996,0,0,0
SRR22823170,348X,116,0.8620689655172413,75.9,72.4,-3.5,6.1000000000000085,0,0,0
SRR22823170,40X,116,0.8620689655172413,72.4,70.7,-1.7000000000000028,3.3999999999999915,1,0,1
SRR23239696,10X,116,0.8620689655172413,12.1,12.1,0.0,0.8000000000000007,0,0,0
SRR23239696,20X,116,0.8620689655172413,26.7,25.9,-0.8000000000000007,3.5,0,0,0
SRR23239696,38X,116,0.8620689655172413,35.3,37.1,1.8000000000000043,3.5,1,1,0
SRR23239696,40X,116,0.8620689655172413,38.8,37.9,-0.8999999999999986,3.5,0,0,0
SRR23886137,10X,116,0.8620689655172413,32.8,30.2,-2.599999999999998,2.599999999999998,0,0,0
SRR23886137,20X,116,0.8620689655172413,55.2,50.0,-5.200000000000003,5.200000000000003,0,0,0
SRR23886137,31X,116,0.8620689655172413,64.7,62.1,-2.6000000000000014,2.6000000000000014,0,0,0
SRR23886137,40X,116,0.8620689655172413,64.7,62.1,-2.6000000000000014,2.6000000000000014,0,0,0
SRR24565792,10X,116,0.8620689655172413,87.1,87.1,0.0,0.8999999999999915,0,0,0
SRR24565792,113X,116,0.8620689655172413,97.4,97.4,0.0,1.7000000000000028,0,0,0
SRR24565792,20X,116,0.8620689655172413,96.6,96.6,0.0,0.0,0,0,0
SRR24565792,40X,116,0.8620689655172413,96.6,98.3,1.7000000000000028,1.7000000000000028,1,1,0
SRR25133970,10X,116,0.8620689655172413,74.1,71.6,-2.5,3.3999999999999915,0,0,0
SRR25133970,20X,116,0.8620689655172413,83.6,82.8,-0.7999999999999972,3.3999999999999915,0,0,0
SRR25133970,40X,116,0.8620689655172413,85.3,87.1,1.7999999999999972,1.7999999999999972,1,1,0
SRR25133970,421X,116,0.8620689655172413,83.6,87.9,4.300000000000011,5.1000000000000085,1,1,0
SRR26255161,10X,116,0.8620689655172413,32.8,33.6,0.8000000000000043,0.8000000000000043,0,0,0
SRR26255161,20X,116,0.8620689655172413,57.8,58.6,0.8000000000000043,1.7000000000000028,0,0,0
SRR26255161,257X,116,0.8620689655172413,71.6,69.0,-2.5999999999999943,6.0,0,0,0
SRR26255161,40X,116,0.8620689655172413,68.1,68.1,0.0,1.6999999999999886,0,0,0
SRR28110421,10X,116,0.8620689655172413,39.7,37.1,-2.6000000000000014,3.5,0,0,0
SRR28110421,20X,116,0.8620689655172413,53.4,53.4,0.0,2.5,0,0,0
SRR28110421,231X,116,0.8620689655172413,67.2,68.1,0.8999999999999915,4.299999999999997,0,0,0
SRR28110421,40X,116,0.8620689655172413,59.5,62.9,3.3999999999999986,4.299999999999997,1,1,0
SRR28811885,10X,116,0.8620689655172413,75.0,75.0,0.0,0.9000000000000057,0,0,0
SRR28811885,20X,116,0.8620689655172413,87.9,87.9,0.0,1.7999999999999972,1,0,1
SRR28811885,40X,116,0.8620689655172413,89.7,90.5,0.7999999999999972,1.7000000000000028,0,0,0
SRR28811885,419X,116,0.8620689655172413,87.9,87.9,0.0,8.600000000000009,1,0,1
SRR29761485,10X,116,0.8620689655172413,32.8,32.8,0.0,0.8999999999999986,0,0,0
SRR29761485,20X,116,0.8620689655172413,63.8,60.3,-3.5,4.299999999999997,0,0,0
SRR29761485,344X,116,0.8620689655172413,91.4,93.1,1.6999999999999886,2.5999999999999943,1,1,0
SRR29761485,40X,116,0.8620689655172413,70.7,72.4,1.7000000000000028,1.7000000000000028,1,1,0
SRR29819308,10X,116,0.8620689655172413,91.4,92.2,0.7999999999999972,0.7999999999999972,0,0,0
SRR29819308,120X,116,0.8620689655172413,95.7,96.6,0.8999999999999915,2.5999999999999943,0,0,0
SRR29819308,20X,116,0.8620689655172413,94.0,94.8,0.7999999999999972,0.7999999999999972,0,0,0
SRR29819308,40X,116,0.8620689655172413,95.7,95.7,0.0,0.8999999999999915,0,0,0
SRR30293602,10X,116,0.8620689655172413,99.1,99.1,0.0,0.0,0,0,0
SRR30293602,20X,116,0.8620689655172413,99.1,99.1,0.0,0.0,0,0,0
SRR30293602,40X,116,0.8620689655172413,97.4,98.3,0.8999999999999915,1.6999999999999886,1,0,1
SRR30293602,488X,116,0.8620689655172413,98.3,97.4,-0.8999999999999915,5.200000000000003,0,0,0
SRR30868101,10X,116,0.8620689655172413,21.6,20.7,-0.9000000000000021,3.5,0,0,0
SRR30868101,20X,116,0.8620689655172413,26.7,28.4,1.6999999999999993,3.400000000000002,1,1,0
SRR30868101,318X,116,0.8620689655172413,38.8,46.6,7.800000000000004,9.5,1,1,0
SRR30868101,40X,116,0.8620689655172413,38.8,37.1,-1.6999999999999957,1.6999999999999957,0,0,0
SRR30868144,10X,116,0.8620689655172413,14.7,15.5,0.8000000000000007,6.099999999999998,1,0,1
SRR30868144,20X,116,0.8620689655172413,20.7,22.4,1.6999999999999993,2.599999999999998,1,1,0
SRR30868144,376X,116,0.8620689655172413,32.8,38.8,6.0,6.900000000000006,1,1,0
SRR30868144,40X,116,0.8620689655172413,24.1,25.9,1.7999999999999972,6.900000000000002,1,1,0
SRR31790021,10X,116,0.8620689655172413,95.7,95.7,0.0,0.0,0,0,0
SRR31790021,20X,116,0.8620689655172413,95.7,95.7,0.0,0.0,0,0,0
SRR31790021,40X,116,0.8620689655172413,96.6,96.6,0.0,0.0,0,0,0
SRR31790021,48X,116,0.8620689655172413,96.6,96.6,0.0,0.0,0,0,0
SRR31790023,10X,116,0.8620689655172413,97.4,97.4,0.0,0.0,0,0,0
SRR31790023,20X,116,0.8620689655172413,97.4,97.4,0.0,0.0,0,0,0
SRR31790023,236X,116,0.8620689655172413,97.4,96.6,-0.8000000000000114,1.7000000000000028,0,0,0
SRR31790023,40X,116,0.8620689655172413,97.4,97.4,0.0,0.0,0,0,0
